frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,tcp.flags,frame.len
"Apr  3, 2025 09:04:40.130702000 EAT","20.0.0.4","20.0.0.2","44215","1078",,"0x0002","58"
"Apr  3, 2025 09:04:40.130711000 EAT","20.0.0.2","20.0.0.4","1078","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130724000 EAT","20.0.0.4","20.0.0.2","44215","9",,"0x0002","58"
"Apr  3, 2025 09:04:40.130733000 EAT","20.0.0.2","20.0.0.4","9","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130747000 EAT","20.0.0.4","20.0.0.2","44215","616",,"0x0002","58"
"Apr  3, 2025 09:04:40.130756000 EAT","20.0.0.2","20.0.0.4","616","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130770000 EAT","20.0.0.4","20.0.0.2","44215","79",,"0x0002","58"
"Apr  3, 2025 09:04:40.130779000 EAT","20.0.0.2","20.0.0.4","79","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130794000 EAT","20.0.0.4","20.0.0.2","44215","54045",,"0x0002","58"
"Apr  3, 2025 09:04:40.130803000 EAT","20.0.0.2","20.0.0.4","54045","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130818000 EAT","20.0.0.4","20.0.0.2","44215","8200",,"0x0002","58"
"Apr  3, 2025 09:04:40.130827000 EAT","20.0.0.2","20.0.0.4","8200","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130842000 EAT","20.0.0.4","20.0.0.2","44215","3000",,"0x0002","58"
"Apr  3, 2025 09:04:40.130851000 EAT","20.0.0.2","20.0.0.4","3000","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130865000 EAT","20.0.0.4","20.0.0.2","44215","2701",,"0x0002","58"
"Apr  3, 2025 09:04:40.130874000 EAT","20.0.0.2","20.0.0.4","2701","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130888000 EAT","20.0.0.4","20.0.0.2","44215","987",,"0x0002","58"
